"Date","X_00300_00003","X_00300_00003_cd"
2005-09-26,2.6,"A"
2005-09-27,3,"A"
2005-09-28,3.7,"A"
2005-09-29,3.1,"A"
2005-09-30,3.4,"A"
2005-10-01,3.9,"A"
2005-10-02,4.1,"A"
2005-10-03,4.1,"A"
2005-10-15,5.9,"A"
2005-10-16,5.8,"A"
2005-10-17,5.8,"A"
2005-10-18,6,"A"
2005-10-19,6.2,"A"
2005-10-20,6.3,"A"
2005-10-21,6.1,"A"
2005-10-22,6.2,"A"
2005-10-23,6.4,"A"
2005-10-28,6.9,"A"
2005-10-29,6.9,"A"
2005-10-30,6.9,"A"
2005-10-31,7,"A"
2005-11-01,6.9,"A"
2005-11-02,7.2,"A"
2005-11-03,7,"A"
2005-11-04,7.2,"A"
2005-11-05,6.8,"A"
2005-11-06,6.5,"A"
2005-11-07,6.7,"A"
2005-11-08,6.9,"A"
2005-11-09,6.8,"A"
2005-11-10,7,"A"
2005-11-11,7.3,"A"
2005-11-12,7.3,"A"
2005-11-13,7.2,"A"
2005-11-14,7.2,"A"
2005-11-15,7.2,"A"
2005-11-16,7,"A"
2005-11-17,7.4,"A"
2005-11-18,7.5,"A"
2005-11-19,7.4,"A"
2005-11-20,7.2,"A"
2005-11-21,7.4,"A"
2005-11-22,7.9,"A"
2005-11-23,8.2,"A"
2005-11-24,8.5,"A"
2005-11-25,8.9,"A"
2005-11-26,8.8,"A"
2005-11-27,8.7,"A"
2005-11-28,8.8,"A"
2005-11-29,9.1,"A"
2005-11-30,9.7,"A"
2005-12-01,9.4,"A"
2005-12-02,9.2,"A"
2005-12-03,9.3,"A"
2005-12-04,9.3,"A"
2005-12-05,9.6,"A"
2005-12-06,10,"A"
2005-12-07,10,"A"
2005-12-08,9.9,"A"
2005-12-09,10.3,"A"
2005-12-10,10.3,"A"
2005-12-11,10.7,"A"
2005-12-12,10.9,"A"
2005-12-13,10.8,"A"
2005-12-14,10.7,"A"
2005-12-15,10.6,"A"
2005-12-16,10.9,"A"
2005-12-17,11.6,"A"
2005-12-18,11.8,"A"
2005-12-19,11.4,"A"
2005-12-20,11.5,"A"
2005-12-21,11.6,"A"
2005-12-29,11.2,"A"
2005-12-30,11.5,"A"
2005-12-31,11.4,"A"
2006-01-01,11.5,"A"
2006-01-02,11.3,"A"
2006-01-03,11.5,"A"
2006-01-04,11.7,"A"
2006-01-05,11.6,"A"
2006-01-06,11.5,"A"
2006-01-07,11.7,"A"
2006-01-08,11.8,"A"
2006-01-09,11.6,"A"
2006-01-10,11.7,"A"
2006-01-11,11.7,"A"
2006-01-12,11.7,"A"
2006-01-13,11.4,"A"
2006-01-14,11.7,"A"
2006-01-15,11.5,"A"
2006-01-16,11.5,"A"
2006-01-17,11.2,"A"
2006-01-18,11.7,"A"
2006-01-19,11.8,"A"
2006-01-20,11.7,"A"
