"Date","X_00060_00003","X_00060_00003_cd"
2005-09-15,2030,"A"
2005-09-16,1470,"A"
2005-09-17,606,"A"
2005-09-18,297,"A"
2005-09-19,1290,"A"
2005-09-20,1660,"A"
2005-09-21,1890,"A"
2005-09-22,1820,"A"
2005-09-23,1820,"A"
2005-09-24,304,"A"
2005-09-25,310,"A"
2005-09-26,1830,"A"
2005-09-27,1750,"A"
2005-09-28,1290,"A"
2005-09-29,2280,"A"
2005-09-30,1040,"A"
2005-10-01,310,"A"
2005-10-02,848,"A"
2005-10-03,1490,"A"
2005-10-04,1620,"A"
2005-10-05,1610,"A"
2005-10-06,1990,"A"
2005-10-07,1030,"A"
2005-10-08,306,"A"
2005-10-09,309,"A"
2005-10-10,752,"A"
2005-10-11,1620,"A"
2005-10-12,1220,"A"
2005-10-13,1510,"A"
2005-10-14,1210,"A"
2005-10-15,289,"A"
2005-10-16,285,"A"
2005-10-17,1940,"A"
2005-10-18,1840,"A"
2005-10-19,2190,"A"
2005-10-20,1510,"A"
2005-10-21,1830,"A"
2005-10-22,299,"A"
2005-10-23,297,"A"
2005-10-24,1950,"A"
2005-10-25,1850,"A"
2005-10-26,1550,"A"
2005-10-27,2090,"A"
2005-10-28,1950,"A"
2005-10-29,310,"A"
2005-10-30,310,"A"
2005-10-31,3060,"A"
2005-11-01,2320,"A"
2005-11-02,2060,"A"
2005-11-03,2170,"A"
2005-11-04,1490,"A"
2005-11-05,332,"A"
2005-11-06,337,"A"
2005-11-07,1570,"A"
2005-11-08,1990,"A"
2005-11-09,2210,"A"
2005-11-10,2080,"A"
2005-11-11,1700,"A"
2005-11-12,811,"A"
2005-11-13,942,"A"
2005-11-14,1970,"A"
2005-11-15,1970,"A"
2005-11-16,1760,"A"
2005-11-17,2110,"A"
2005-11-18,1820,"A"
2005-11-19,391,"A"
2005-11-20,391,"A"
2005-11-21,2990,"A"
2005-11-22,2670,"A"
2005-11-23,3510,"A"
2005-11-24,2350,"A"
2005-11-25,2510,"A"
2005-11-26,380,"A"
2005-11-27,381,"A"
2005-11-28,3160,"A"
2005-11-29,3820,"A"
2005-11-30,3840,"A"
2005-12-01,4080,"A"
2005-12-02,3880,"A"
2005-12-03,388,"A"
2005-12-04,393,"A"
2005-12-05,2980,"A"
2005-12-06,4430,"A"
2005-12-07,4830,"A"
2005-12-08,6360,"A"
2005-12-09,4900,"A"
2005-12-10,1660,"A"
2005-12-11,795,"A"
2005-12-12,3240,"A"
2005-12-13,1930,"A"
2005-12-14,1060,"A"
2005-12-15,1850,"A"
2005-12-16,1390,"A"
2005-12-17,381,"A"
2005-12-18,396,"A"
2005-12-19,1830,"A"
2005-12-20,2410,"A"
2005-12-21,1900,"A"
2005-12-22,2040,"A"
2005-12-23,1710,"A"
2005-12-24,388,"A"
2005-12-25,390,"A"
2005-12-26,386,"A"
2005-12-27,1700,"A"
2005-12-28,2620,"A"
2005-12-29,2990,"A"
2005-12-30,2560,"A"
2005-12-31,385,"A"
2006-01-01,375,"A"
2006-01-02,1570,"A"
2006-01-03,1690,"A"
2006-01-04,1830,"A"
2006-01-05,1910,"A"
2006-01-06,1380,"A"
2006-01-07,370,"A"
2006-01-08,361,"A"
2006-01-09,1350,"A"
2006-01-10,1370,"A"
2006-01-11,1710,"A"
2006-01-12,1570,"A"
2006-01-13,1100,"A"
2006-01-14,344,"A"
2006-01-15,342,"A"
2006-01-16,1280,"A"
2006-01-17,1330,"A"
2006-01-18,2120,"A"
2006-01-19,3770,"A"
2006-01-20,6470,"A"
2006-01-21,6380,"A"
2006-01-22,541,"A"
2006-01-23,670,"A"
2006-01-24,1540,"A"
2006-01-25,3380,"A"
2006-01-26,4150,"A"
2006-01-27,4800,"A"
2006-01-28,437,"A"
2006-01-29,332,"A"
2006-01-30,1610,"A"
2006-01-31,1730,"A"
2006-02-01,1520,"A"
2006-02-02,1380,"A"
2006-02-03,2030,"A"
2006-02-04,333,"A"
2006-02-05,332,"A"
2006-02-06,1470,"A"
2006-02-07,1630,"A"
2006-02-08,2870,"A"
2006-02-09,3570,"A"
2006-02-10,1610,"A"
2006-02-11,568,"A"
2006-02-12,322,"A"
2006-02-13,1440,"A"
2006-02-14,2840,"A"
2006-02-15,1600,"A"
2006-02-16,1110,"A"
2006-02-17,1080,"A"
2006-02-18,321,"A"
2006-02-19,321,"A"
2006-02-20,1140,"A"
2006-02-21,1460,"A"
2006-02-22,972,"A"
2006-02-23,1270,"A"
2006-02-24,572,"A"
