Date,X_00060_00003,X_00060_00003_cd
2011-10-06,1020,A
2011-10-07,800,A
2011-10-08,321,A
2011-10-09,321,A
2011-10-10,669,A
2011-10-11,679,A
2011-10-12,1230,A
2011-10-13,688,A
2011-10-14,693,A
2011-10-15,343,A
2011-10-16,343,A
2011-10-17,699,A
2011-10-18,701,A
2011-10-19,536,A
2011-10-20,653,A
2011-10-21,716,A
2011-10-22,774,A
2011-10-23,391,A
2011-10-24,720,A
2011-10-25,534,A
2011-10-26,538,A
2011-10-27,540,A
2011-10-28,536,A
2011-10-29,404,A
2011-10-30,404,A
2011-10-31,545,A
2011-11-01,513,A
2011-11-02,844,A
2011-11-03,787,A
2011-11-04,695,A
2011-11-05,347,A
2011-11-06,343,A
2011-11-07,506,A
2011-11-08,675,A
2011-11-09,682,A
2011-11-10,695,A
2011-11-11,692,A
2011-11-12,354,A
2011-11-13,354,A
2011-11-14,691,A
2011-11-15,518,A
2011-11-16,524,A
2011-11-17,520,A
2011-11-18,1200,A
2011-11-19,362,A
2011-11-20,366,A
2011-11-21,1710,A
2011-11-22,1390,A
2011-11-23,1400,A
2011-11-24,1360,A
2011-11-25,1400,A
2011-11-26,366,A
2011-11-27,372,A
2011-11-28,1510,A
2011-11-29,1370,A
2011-11-30,694,A
2011-12-01,1320,A
2011-12-02,2100,A
2011-12-03,673,A
2011-12-04,366,A
2011-12-05,2050,A
2011-12-06,3650,A
2011-12-07,3650,A
2011-12-08,3690,A
2011-12-09,4050,A
2011-12-10,3720,A
2011-12-11,3600,A
2011-12-12,3670,A
2011-12-13,3640,A
2011-12-14,3500,A
2011-12-15,3800,A
2011-12-16,473,A
2011-12-17,391,A
2011-12-18,395,A
2011-12-19,571,A
2011-12-20,694,A
2011-12-21,733,A
2011-12-22,1000,A
2011-12-23,403,A
2011-12-24,404,A
2011-12-25,399,A
2011-12-26,730,A
2011-12-27,696,A
2011-12-28,799,A
2011-12-29,1060,A
2011-12-30,2280,A
2011-12-31,392,A
2012-01-01,389,A
2012-01-02,1990,A
2012-01-03,1950,A
2012-01-04,1590,A
2012-01-05,1790,A
2012-01-06,1500,A
2012-01-07,391,A
2012-01-08,391,A
2012-01-09,895,A
2012-01-10,719,A
2012-01-11,519,A
2012-01-12,663,A
2012-01-13,719,A
2012-01-14,373,A
2012-01-15,366,A
2012-01-16,655,A
2012-01-17,651,A
2012-01-18,556,A
2012-01-19,643,A
2012-01-20,951,A
2012-01-21,336,A
2012-01-22,332,A
2012-01-23,924,A
2012-01-24,1950,A
2012-01-25,1060,A
2012-01-26,323,A
2012-01-27,2460,A
2012-01-28,3970,A
2012-01-29,4050,A
2012-01-30,3820,A
2012-01-31,2290,A
2012-02-01,961,A
2012-02-02,798,A
2012-02-03,493,A
2012-02-04,321,A
2012-02-05,321,A
2012-02-06,622,A
2012-02-07,460,A
2012-02-08,616,A
2012-02-09,607,A
2012-02-10,310,A
2012-02-11,310,A
2012-02-12,310,A
2012-02-13,524,A
2012-02-14,587,A
2012-02-15,598,A
2012-02-16,401,A
2012-02-17,310,A
2012-02-18,310,A
2012-02-19,310,A
2012-02-20,869,A
2012-02-21,610,A
2012-02-22,481,A
2012-02-23,921,A
2012-02-24,927,A
2012-02-25,303,A
2012-02-26,310,A
2012-02-27,1080,A
2012-02-28,926,A
2012-02-29,449,A
2012-03-01,768,A
2012-03-02,447,A
2012-03-03,319,A
2012-03-04,320,A
2012-03-05,1090,A
2012-03-06,2880,A
2012-03-07,2570,A
2012-03-08,1700,A
